gasprice(GWEI),pingtime(SEC),EthUsed,€cost
0.1,8,0.000005,0.00086
0.1,6,0.000005,0.00086
0.1,14,0.000005,0.00086
0.1,37,0.000005,0.00086
0.1,46,0.000005,0.00086
0.1,40,0.000005,0.00086
0.1,46,0.000005,0.00086
0.1,8,0.000005,0.00086
0.1,1,0.000005,0.00086
0.1,75,0.000005,0.00086
0.5,8,0.000027,0.0046
0.5,16,0.000027,0.0046
0.5,16,0.000027,0.0046
0.5,12,0.000027,0.0046
0.5,20,0.000027,0.0046
0.5,1,0.000027,0.0046
0.5,28,0.000027,0.0046
0.5,10,0.000027,0.0046
0.5,1,0.000027,0.0046
0.5,26,0.000027,0.0046
1,5,0.000054,0.0093
1,3,0.000054,0.0093
1,6,0.000054,0.0093
1,13,0.000054,0.0093
1,7,0.000054,0.0093
1,1,0.000054,0.0093
1,1,0.000054,0.0093
1,6,0.000054,0.0093
1,10,0.000054,0.0093
1,6,0.000054,0.0093
2,11,0.000109,0.019
2,2,0.000109,0.019
2,1,0.000109,0.019
2,3,0.000109,0.019
2,5,0.000109,0.019
2,16,0.000109,0.019
2,10,0.000109,0.019
2,1,0.000109,0.019
2,4,0.000109,0.019
2,5,0.000109,0.019
5,15,0.000272,0.047
5,8,0.000272,0.047
5,5,0.000272,0.047
5,8,0.000272,0.047
5,5,0.000272,0.047
5,9,0.000272,0.047
5,10,0.000272,0.047
5,9,0.000272,0.047
5,2,0.000272,0.047
5,9,0.000272,0.047
